Strategy,Episode,Success,Steps,Plans,Reward,Planning_Time,Fidelity
Run-Lookahead,1,False,0,1,0,0.05798053741455078,0
Run-Lookahead,2,True,12,12,9,0.011008024215698242,0.15384615384615385
Run-Lookahead,3,False,0,1,0,9.274482727050781e-05,0
Run-Lookahead,4,False,0,1,0,0.0010464191436767578,0
Run-Lookahead,5,False,0,1,0,8.630752563476562e-05,0
Run-Lookahead,6,False,0,1,0,6.222724914550781e-05,0
Run-Lookahead,7,True,10,10,11,0.007547616958618164,0.18181818181818182
Run-Lookahead,8,False,0,1,0,8.058547973632812e-05,0
Run-Lookahead,9,True,15,15,6,0.017290592193603516,0.125
Run-Lookahead,10,True,15,15,6,0.017379283905029297,0.125
Run-Lazy-Lookahead,1,False,0,1,0,0.0009860992431640625,0
Run-Lazy-Lookahead,2,True,12,1,9,0.001638174057006836,1.0
Run-Lazy-Lookahead,3,False,0,1,0,7.724761962890625e-05,0
Run-Lazy-Lookahead,4,False,0,1,0,0.001009225845336914,0
Run-Lazy-Lookahead,5,False,0,1,0,8.249282836914062e-05,0
Run-Lazy-Lookahead,6,False,0,1,0,5.817413330078125e-05,0
Run-Lazy-Lookahead,7,True,10,1,11,0.0014183521270751953,1.0
Run-Lazy-Lookahead,8,False,0,1,0,8.296966552734375e-05,0
Run-Lazy-Lookahead,9,True,15,1,6,0.001982450485229492,1.0
Run-Lazy-Lookahead,10,True,15,1,6,0.002114534378051758,1.0
